voice_id,engine,language,sent_chars,transcript_chars,last_checkpoint,total_checkpoints,coverage_pct,secs,status,detail
fish-katya,fish,Russian,4888,3873,32,32,100.0,182.1,OK,
fish-sarah,fish,English,4888,4389,32,32,100.0,184.4,OK,
fish-ellie,fish,English,4888,4688,32,32,100.0,177.1,OK,
fish-laila,fish,Arabic,4888,4779,32,32,100.0,178.1,OK,
fish-evan,fish,English,4888,4807,32,32,100.0,266.2,OK,
fish-adrian,fish,English,4888,3975,32,32,100.0,239.6,OK,
fish-mateo,fish,Spanish,4888,4727,32,32,100.0,183.8,OK,
fish-verity,fish,Spanish,4888,4767,32,32,100.0,210.1,OK,
